overflow_key,company_slug,offline_start_utc,offline_end_utc,offline_end_source,first_observed_utc,last_observed_utc
anglian:AWS00045,anglian,2026-06-12T09:30:21Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00133,anglian,2026-06-15T09:46:06Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00196,anglian,2026-06-23T07:30:51Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00282,anglian,2026-06-08T13:15:28Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00868,anglian,2026-06-15T10:30:01Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS01226,anglian,2026-06-17T07:31:21Z,2026-06-17T07:31:21Z,feed,2026-09-19T09:49:55Z,2026-09-19T10:20:27Z
anglian:AWS01326,anglian,2026-06-02T12:45:57Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
northumbrian:NWL01465,northumbrian,2026-06-16T00:58:18Z,2026-06-02T15:53:59Z,feed,2026-09-17T00:49:00Z,2026-09-18T10:30:40Z
southern:SWS00552,southern,2026-06-17T09:00:00Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
thames:TWL00360,thames,2026-06-04T10:32:00Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
thames:TWL00546,thames,2026-06-15T07:18:00Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
thames:TWL00636,thames,2026-06-18T17:00:00Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
thames:TWL00803,thames,2026-06-28T14:00:00Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
united-utilities:UUP00748,united-utilities,2026-06-24T13:33:36Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
united-utilities:UUP02260,united-utilities,2026-06-22T08:01:16Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
yorkshire:YWS00263,yorkshire,2026-06-13T16:44:21Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
