overflow_key,company_slug,offline_start_utc,offline_end_utc,offline_end_source,first_observed_utc,last_observed_utc
anglian:AWS00024,anglian,2026-06-29T06:00:04Z,2026-06-29T06:00:04Z,feed,2026-09-22T11:10:24Z,2026-09-22T11:30:29Z
anglian:AWS00045,anglian,2026-06-12T09:30:21Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00053,anglian,2026-06-10T19:31:04Z,2026-06-10T19:31:04Z,feed,2026-09-24T21:30:26Z,2026-09-24T21:50:24Z
anglian:AWS00133,anglian,2026-06-15T09:46:06Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00185,anglian,2026-06-20T19:15:55Z,,,2026-09-25T14:30:31Z,2026-09-25T14:30:31Z
anglian:AWS00194,anglian,2026-06-23T07:31:29Z,2026-06-23T07:31:29Z,feed,2026-09-25T00:30:30Z,2026-09-25T00:48:07Z
anglian:AWS00196,anglian,2026-06-23T07:30:51Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00233,anglian,2026-06-02T15:45:27Z,2026-06-02T15:45:27Z,feed,2026-09-22T18:30:24Z,2026-09-23T17:50:25Z
anglian:AWS00282,anglian,2026-06-08T13:15:28Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00314,anglian,2026-06-11T17:00:21Z,2026-06-11T17:00:21Z,feed,2026-09-19T13:50:38Z,2026-09-19T14:10:57Z
anglian:AWS00314,anglian,2026-06-11T17:00:21Z,2026-06-11T17:00:21Z,feed,2026-09-22T05:10:23Z,2026-09-22T05:30:29Z
anglian:AWS00314,anglian,2026-06-11T17:00:21Z,2026-06-11T17:00:21Z,feed,2026-09-22T07:00:30Z,2026-09-22T08:10:26Z
anglian:AWS00327,anglian,2026-06-08T12:45:16Z,2026-06-08T12:45:16Z,feed,2026-09-23T10:50:20Z,2026-09-23T11:10:22Z
anglian:AWS00327,anglian,2026-06-08T12:45:16Z,2026-06-08T12:45:16Z,feed,2026-09-25T13:50:28Z,2026-09-25T14:10:31Z
anglian:AWS00561,anglian,2026-06-09T16:00:21Z,2026-06-09T16:00:21Z,feed,2026-09-24T09:30:26Z,2026-09-24T09:50:29Z
anglian:AWS00709,anglian,2026-06-12T10:31:39Z,2026-06-12T10:31:39Z,feed,2026-09-23T08:50:23Z,2026-09-23T09:10:22Z
anglian:AWS00868,anglian,2026-06-15T10:30:01Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00869,anglian,2026-06-04T14:25:21Z,2026-06-04T14:25:21Z,feed,2026-09-22T08:30:30Z,2026-09-22T08:50:24Z
anglian:AWS01192,anglian,2026-06-23T06:01:15Z,2026-06-23T06:01:15Z,feed,2026-09-24T21:30:26Z,2026-09-24T21:50:24Z
anglian:AWS01205,anglian,2026-06-03T16:01:04Z,2026-06-03T16:01:04Z,feed,2026-09-24T21:30:26Z,2026-09-24T21:50:24Z
anglian:AWS01226,anglian,2026-06-17T07:31:21Z,2026-06-17T07:31:21Z,feed,2026-09-19T09:49:55Z,2026-09-19T10:20:27Z
anglian:AWS01326,anglian,2026-06-02T12:45:57Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS01501,anglian,2026-06-30T14:31:32Z,2026-06-30T14:31:32Z,feed,2026-09-20T18:36:10Z,2026-09-20T20:17:07Z
anglian:AWS01501,anglian,2026-06-30T14:31:32Z,2026-06-30T14:31:32Z,feed,2026-09-21T08:40:20Z,2026-09-21T09:00:28Z
anglian:AWS01501,anglian,2026-06-30T14:31:32Z,2026-06-30T14:31:32Z,feed,2026-09-21T13:00:29Z,2026-09-21T13:20:20Z
anglian:AWS01501,anglian,2026-06-30T14:31:32Z,2026-06-30T14:31:32Z,feed,2026-09-21T13:40:26Z,2026-09-21T14:00:27Z
anglian:AWS01501,anglian,2026-06-30T14:31:32Z,2026-06-30T14:31:32Z,feed,2026-09-21T21:20:30Z,2026-09-21T21:30:23Z
anglian:AWS01501,anglian,2026-06-30T14:31:32Z,2026-06-30T14:31:32Z,feed,2026-09-21T22:40:24Z,2026-09-21T22:50:24Z
anglian:AWS01501,anglian,2026-06-30T14:31:32Z,2026-06-30T14:31:32Z,feed,2026-09-21T23:38:14Z,2026-09-21T23:50:21Z
anglian:AWS01501,anglian,2026-06-30T14:31:32Z,2026-06-30T14:31:32Z,feed,2026-09-22T00:30:24Z,2026-09-22T01:20:24Z
anglian:AWS01501,anglian,2026-06-30T14:31:32Z,2026-06-30T14:31:32Z,feed,2026-09-22T01:51:50Z,2026-09-22T02:20:21Z
anglian:AWS01501,anglian,2026-06-30T14:31:32Z,2026-06-30T14:31:32Z,feed,2026-09-22T02:30:25Z,2026-09-22T03:00:31Z
anglian:AWS01501,anglian,2026-06-30T14:31:32Z,2026-06-30T14:31:32Z,feed,2026-09-22T03:20:25Z,2026-09-22T03:40:29Z
anglian:AWS01501,anglian,2026-06-30T14:31:32Z,2026-06-30T14:31:32Z,feed,2026-09-22T04:20:28Z,2026-09-22T05:20:27Z
anglian:AWS01501,anglian,2026-06-30T14:31:32Z,2026-06-30T14:31:32Z,feed,2026-09-22T06:41:03Z,2026-09-22T07:00:30Z
anglian:AWS01501,anglian,2026-06-30T14:31:32Z,2026-06-30T14:31:32Z,feed,2026-09-22T07:15:13Z,2026-09-22T09:40:22Z
anglian:AWS01501,anglian,2026-06-30T14:31:32Z,2026-06-30T14:31:32Z,feed,2026-09-22T10:00:29Z,2026-09-22T10:40:21Z
anglian:AWS01501,anglian,2026-06-30T14:31:32Z,2026-06-30T14:31:32Z,feed,2026-09-22T11:00:36Z,2026-09-22T11:20:24Z
anglian:AWS01501,anglian,2026-06-30T14:31:32Z,2026-06-30T14:31:32Z,feed,2026-09-22T11:40:20Z,2026-09-22T12:00:29Z
anglian:AWS01501,anglian,2026-06-30T14:31:32Z,2026-06-30T14:31:32Z,feed,2026-09-22T16:30:30Z,2026-09-22T16:50:25Z
northumbrian:NWL01465,northumbrian,2026-06-16T00:58:18Z,2026-06-02T15:53:59Z,feed,2026-09-17T00:49:00Z,2026-09-18T10:30:40Z
southern:SWS00552,southern,2026-06-17T09:00:00Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
thames:TWL00360,thames,2026-06-04T10:32:00Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
thames:TWL00546,thames,2026-06-15T07:18:00Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
thames:TWL00636,thames,2026-06-18T17:00:00Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
thames:TWL00803,thames,2026-06-28T14:00:00Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
united-utilities:UUP00748,united-utilities,2026-06-24T13:33:36Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
united-utilities:UUP02260,united-utilities,2026-06-22T08:01:16Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
yorkshire:YWS00263,yorkshire,2026-06-13T16:44:21Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
