overflow_key,company_slug,offline_start_utc,offline_end_utc,offline_end_source,first_observed_utc,last_observed_utc
anglian:AWS00197,anglian,2026-02-09T13:06:34Z,2026-02-09T13:06:34Z,feed,2026-09-17T11:32:49Z,2026-09-17T19:14:51Z
anglian:AWS00197,anglian,2026-02-09T13:06:34Z,2026-02-09T13:06:34Z,feed,2026-09-19T16:54:50Z,2026-09-19T17:15:09Z
anglian:AWS00197,anglian,2026-02-09T13:06:34Z,2026-02-09T13:06:34Z,feed,2026-09-20T15:34:48Z,2026-09-20T15:44:56Z
anglian:AWS00231,anglian,2026-02-22T20:46:00Z,2026-02-22T20:46:00Z,feed,2026-09-18T22:43:41Z,2026-09-18T23:14:14Z
anglian:AWS00717,anglian,2026-02-17T03:31:01Z,2026-02-17T03:31:01Z,feed,2026-09-21T20:50:20Z,2026-09-21T21:10:24Z
anglian:AWS00720,anglian,2026-02-20T13:46:29Z,2026-02-20T13:46:29Z,feed,2026-09-19T09:29:34Z,2026-09-19T09:49:55Z
anglian:AWS00720,anglian,2026-02-20T13:46:29Z,2026-02-20T13:46:29Z,feed,2026-09-19T10:10:17Z,2026-09-19T13:30:17Z
anglian:AWS00720,anglian,2026-02-20T13:46:29Z,2026-02-20T13:46:29Z,feed,2026-09-21T22:50:24Z,2026-09-21T23:10:25Z
anglian:AWS01012,anglian,2026-02-21T12:13:42Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS01021,anglian,2026-02-27T12:01:41Z,2026-02-27T12:01:41Z,feed,2026-09-22T01:30:32Z,2026-09-22T02:30:25Z
anglian:AWS01409,anglian,2026-02-16T21:30:10Z,2026-02-16T21:30:10Z,feed,2026-09-21T00:38:42Z,2026-09-21T01:43:57Z
anglian:AWS01573,anglian,2026-02-16T21:30:34Z,,,2026-09-22T08:40:23Z,2026-09-22T08:40:23Z
northumbrian:NWL00434,northumbrian,2026-02-18T17:00:00Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
thames:TWL00786,thames,2026-02-20T09:34:00Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
united-utilities:UUP00106,united-utilities,2026-02-02T07:00:15Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
yorkshire:YWS00319,yorkshire,2026-02-05T07:45:05Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
yorkshire:YWS01182,yorkshire,2026-02-06T07:59:03Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
